DATE	OPEN	HIGH	LOW	CLOSE	RETURN	DISCREPANCY	VOL_INST	VOL_IND	VOL_FOR
2013-03-04	13270	13340	13035	13055	-1.77	-0.321369098	-2354275	3698258	-1236215
2013-03-05	13160	13390	13155	13155	0.77	0.024407324	2907748	-2616705	-174901
2013-03-06	13385	13420	13100	13135	-0.15	-0.344828894	-3576567	3249805	205228
2013-03-07	13090	13160	12880	12900	-1.79	-0.267962204	-6983909	6969926	-147161
2013-03-08	12900	12990	12800	12885	-0.12	-0.310171921	-1874812	1238944	490443
2013-03-11	12850	12950	12600	12850	-0.27	-0.27805737	-1213206	1096205	13422
2013-03-12	12920	12970	12640	12655	-1.52	-0.243970692	-5422408	5447442	-301926
2013-03-13	12655	12790	12610	12740	0.67	-0.08336843	342681	428312	-721262
2013-03-14	12735	12745	12425	12740	0	-0.420594022	-10549941	9969172	322098
2013-03-15	12835	12855	12480	12535	-1.61	-0.187521649	-5813566	6575549	-1043522
2013-03-18	12400	12455	12260	12315	-1.76	0.156395248	-8061166	6993809	795856
2013-03-19	12395	12555	12330	12395	0.65	0.227867795	926133	-527920	-291716
2013-03-20	12300	12355	12135	12160	-1.9	0.080245262	-9570984	9580904	-296975
2013-03-21	12275	12280	11985	12010	-1.23	0.150183581	-13842479	13094908	417124
2013-03-22	12005	12040	11915	11955	-0.46	-0.044229697	-4474008	4148948	194912
2013-03-25	12140	12445	12135	12370	3.47	-0.237751906	4895376	-5842288	1059937
2013-03-26	12345	12520	12315	12415	0.36	-0.315153462	3357740	-2777695	-605410
2013-03-27	12500	12675	12260	12620	1.65	-0.00744794	4838505	-5873072	800803
2013-03-28	12570	12655	12510	12610	-0.08	-0.143647441	460348	-929672	465205
2013-03-29	12735	12880	12720	12740	1.03	-0.033975894	6703295	-7032083	447048
2013-04-01	12785	12785	12630	12660	-0.63	-0.141584404	-1377964	1847766	-558789
2013-04-02	12640	12690	12265	12440	-1.74	-0.296226004	-6105166	6317263	-304387
2013-04-03	12520	12520	12230	12375	-0.52	-0.536580034	-4110445	3772846	32404
2013-04-04	12185	12225	11910	12045	-2.67	-0.175201017	-18603552	19077164	-1108366
2013-04-05	11920	11980	11600	11690	-2.95	-0.060869684	-18857563	18480374	-112423
2013-04-08	11715	11820	11630	11680	-0.09	-0.042789902	-1668370	381421	1195866
2013-04-09	11655	11885	11475	11665	-0.13	-0.041645744	-4007745	4067280	-143071
2013-04-10	11785	11925	11660	11815	1.29	-0.288711231	1564139	-1217137	-267994
2013-04-11	11945	12010	11705	12010	1.65	0.032566806	-143045	-509362	635250
2013-04-12	12010	12045	11500	11565	-3.71	0.162303638	-12720347	12404089	-361319
2013-04-15	11485	11685	11365	11605	0.35	0.347259452	-2983397	2627858	205404
2013-04-16	11350	11670	11220	11540	-0.56	-0.539105628	-3975110	3785418	-90728
2013-04-17	11630	11680	11325	11530	-0.09	-0.274353643	-3123089	2588481	267017
2013-04-18	11380	11480	11235	11235	-2.56	0.282146743	-5611362	5653934	-233084
2013-04-19	11220	11370	11085	11295	0.53	-0.057779787	-1389319	1063224	78527
2013-04-22	11205	11535	11180	11505	1.86	-0.25367904	1210848	-1340363	14842
2013-04-23	11465	11495	11245	11400	-0.91	-0.13831719	-3571352	3080670	492000
2013-04-24	11520	11660	11395	11600	1.75	-0.111857498	4927493	-4330170	-354601
2013-04-25	11605	11760	11570	11730	1.12	-0.500466537	4536991	-4378299	-108147
2013-04-26	11705	11775	11655	11695	-0.3	-0.150095026	1653787	-1789925	149096
2013-04-29	11690	11695	11520	11620	-0.64	-0.162214921	308386	-68012	-209591
2013-04-30	11695	11990	11690	11935	2.71	-0.198599352	11967721	-11719964	-88791
2013-05-02	11850	11925	11780	11810	-1.05	-0.365551284	-1190061	1668254	-452459
2013-05-03	11950	11955	11750	11900	0.76	-0.284649618	1476245	-1562254	206660
2013-05-06	12020	12190	11840	11840	-0.5	-0.156511415	1760252	-1672676	-70645
2013-05-07	11840	11870	11705	11765	-0.63	-0.101130093	-2498283	2280237	180568
2013-05-08	11830	11900	11695	11745	-0.17	-0.312430773	-2231267	2216515	37063
2013-05-09	11795	12150	11770	12110	3.11	-0.022290654	13611209	-13048439	-437465
